feature,gain,fold,mean_gain
flux__longest_strike_below_mean,153,3,155.14285714285714
flux_norm_fft_4_by_3,140,3,163.85714285714286
flux_diff_4_by_1,151,3,134.57142857142858
5__flux_by_flux_ratio_sq_skew,187,3,176.28571428571428
0__skewness_diff,152,3,145.28571428571428
flux_diff__last_location_of_maximum,148,3,154.71428571428572
abs_energy_4_by_1,145,3,146.85714285714286
abs_energy_3_by_0,150,3,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",236,3,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",198,3,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",213,3,198.71428571428572
flux_norm_fft_2_by_1,129,3,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",179,3,234.28571428571428
2__maximum,208,3,225.71428571428572
0__median,97,3,175.85714285714286
1__binned_entropy__max_bins_10_diff,143,3,170.85714285714286
2__median_diff,159,3,135.42857142857142
2__sample_entropy_norm,140,3,154.14285714285714
flux_diff__first_location_of_maximum,138,3,136.28571428571428
flux_norm_fft_5_by_1,89,3,160.0
0__mean_second_derivative_central,72,3,160.0
flux_diff__first_location_of_minimum,82,3,118.71428571428571
3__binned_entropy__max_bins_10,114,3,118.14285714285714
0__skewness,203,3,165.14285714285714
5__skewness,105,3,148.85714285714286
0__flux_dif3,185,3,144.28571428571428
hostgal_photoz,2100,4,1928.5714285714287
mjd_diff_det,1595,4,1460.857142857143
distmod,1329,4,1304.142857142857
hostgal_photoz_certain,1325,4,1289.0
hostgal_photoz_err,760,4,829.0
mjd__mean_abs_change,772,4,709.1428571428571
flux__longest_strike_above_mean,738,4,667.5714285714286
flux__sample_entropy,486,4,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,495,4,483.85714285714283
flux_by_flux_ratio_sq__median,371,4,405.57142857142856
flux_by_flux_ratio_sq__minimum,457,4,420.42857142857144
flux_by_flux_ratio_sq_skew,369,4,396.14285714285717
flux__cid_ce__normalize_True,394,4,428.7142857142857
mjd__mean_change,403,4,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,363,4,370.0
flux_diff2,349,4,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,270,4,350.42857142857144
bottom__flux_dif3,297,4,272.7142857142857
flux_err_min,401,4,397.85714285714283
0__abs_energy_norm,341,4,368.14285714285717
5__abs_energy_norm,324,4,299.42857142857144
2__skewness,281,4,260.0
2__median,316,4,283.7142857142857
bottom__flux_diff,276,4,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",345,4,310.2857142857143
flux_diff_2_by_1,355,4,302.2857142857143
1__skewness,290,4,274.57142857142856
flux_skew,308,4,304.57142857142856
flux__binned_entropy__max_bins_10,220,4,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,234,4,247.28571428571428
top__flux_dif3,328,4,289.0
4__cid_ce__normalize_True,247,4,293.57142857142856
flux__autocorrelation__lag_3,301,4,292.42857142857144
flux_diff__sample_entropy,285,4,293.7142857142857
abs_energy_5_by_0,274,4,247.28571428571428
